BJD RV eRV
2453139.50191894 -504.093384275348 0.0602954086345144
2453139.5099175 -504.274422208495 0.0996564721907671
2453429.64675703 463.974233128903 0.268226559367388
2453479.4456028 10.9812666589617 0.0651739571267235
2453479.45684958 9.81158998341476 0.066062153610236
2453479.46747691 10.6987684575749 0.0785655362053169
2453479.47758056 10.8384389200046 0.0846125032665766
2453479.4882583 9.74995813985847 0.132866237206615
2453479.50016047 9.16208376520089 0.0762822448137782
2453479.50703569 9.55081905225416 0.277246222839
2453479.52836989 6.93779175303114 0.060634958401085
2453479.53931108 7.02608159186843 0.0721108007135104
2453479.54832527 6.49833818065145 0.0756564290425833
2453479.56614881 5.71341174815547 0.0586763707788956
2453479.57643976 3.99874921738214 0.0602924295345039
2453479.58489324 3.85085129159747 0.11119196845523
2453479.59819432 5.61804571806515 0.0671802479898171
2453479.60864412 3.52339643555337 0.0667327770027233
2453479.61459389 2.93457173940186 0.178286994308906
2453479.66649591 -3.37375806718592 0.244314200586
2453479.69900069 -6.9543888687191 0.134429900556056
2453479.74821162 -5.14666734832879 0.10030059478635
2453479.76263353 -6.01280022232175 0.0875359778333668
2453479.77260297 -7.79413387210605 0.101587657265567
2453479.78333325 -7.97843215624446 0.0773537371491146
2453479.79416378 -9.30995996909344 0.0602744325664579
2453479.80780664 -11.2904189639039 0.0804071714765085
2453479.81883927 -11.1268668747497 0.0718640277966019
2453479.82946643 -11.141628379506 0.0659178214089051
2453479.84144794 -12.1465607997964 0.0680880398385464
2453479.85256614 -12.7048349936087 0.0763653838120247
2453479.85917598 -10.5369925019513 0.303736031749
2453480.4310539 2.98313099694059 0.0642400944315176
2453480.44191622 2.36778189865878 0.0547507415788191
2453480.45349551 1.07148608566388 0.0914217037610831
2453480.46441445 2.55538856382301 0.11871191041111
2453480.48732823 0.0533885918142521 0.0876927153842354
2453480.50180698 -0.262044381168865 0.109668965768531
2453480.51654725 -2.25008309035064 0.0858123771266263
2453480.52355319 -2.17079995748463 0.300544451532
2453480.57226438 -8.58117042128507 0.150599170446104
2453480.5881719 -10.2745245294266 0.120484079863972
2453480.59862096 -13.1602979599182 0.119763666695113
2453480.61073343 -10.2163067466636 0.146439632239397
2453480.62062133 -8.32818721159567 0.148785121759153
2453480.63148892 -8.98970059082053 0.142199607596053
2453480.65328299 -10.7839944443301 0.0883286771400656
2453480.66209466 -12.0824269639289 0.105991143469538
2453480.67847033 -14.6283363654273 0.0857800114780113
2453480.68576872 -11.6858432697863 0.141241257526325
2453480.69910363 -16.1809360543928 0.0842857627703208
2453480.71309501 -17.3637427553994 0.0917526188508188
2453480.72191535 -12.8791179386825 0.144789602766191
2453480.73145207 -14.4814896930126 0.124357872130283
2453480.74961304 -18.1100315382138 0.0849657706173513
2453480.76116978 -19.5894353289396 0.0633841057445361
2453480.7717297 -19.47864029187 0.0657274830338649
2453480.78256092 -18.8846773691657 0.0569100726307821
2453480.79302411 -20.0084166262386 0.0550730797684877
2453480.80411617 -21.3092055724401 0.0664106115675968
2453480.8148385 -21.665073332928 0.071863052477658
