BJD RV eRV
2453537.87315351 1410.25469562033 0.223850231549266
2453744.96571642 2411.78040936771 0.110093201943918
2453808.81740832 2065.46327217758 0.130363921602568
2453828.8093704 1843.91194641696 0.0699815969769641
2453872.69222603 1344.2432325809 0.166042286055608
2453873.89821611 1321.40728827233 0.124450961600588
2453877.74102423 1291.09210890761 0.0522921107837497
2453877.7509386 1289.94587002957 0.0693751226531359
2453896.84188736 1122.4326950324 0.397074063041
2454112.93953714 2076.46544265746 0.275156339929
2454113.9493537 2076.37733478408 0.073047012342638
2454125.90361181 2060.82789676666 0.0715884708087655
2454161.89559708 1839.11700942227 0.0631981148848268
2454192.92061721 1509.73167800585 0.0701913504946429
2454203.74901718 1393.08539300826 0.0684023261908859
2454246.68210212 918.918945272501 0.113654075490512
2454525.00660415 1500.5439601435 0.0665039885616874
2454525.98130618 1493.05348720591 0.0935667827555326
2454526.97918701 1485.77255205893 0.141108032670969
2454527.9907799 1474.89111228489 0.189613736079
2454528.94263193 1470.73322140376 0.301983579345
2454528.97313869 1467.44086674303 0.0675521397105955
2454529.93491591 1460.16785249011 0.132681680914817
2454530.92892738 1451.82371628421 0.0817056937456456
2454548.92430847 1263.19192926228 0.184343024938
2454549.86533313 1256.90807995271 0.0737846255222191
2454550.9096398 1240.84209434171 0.0535433658264234
2454551.952779 1227.64920461654 0.0653941752811352
2454552.94173959 1216.87989088129 0.0773031849033547
2454554.89196006 1196.87587090822 0.051431165607117
2454555.90576973 1183.80996145101 0.0924890860294507
2454556.8548078 1174.57815635299 0.0741399835245762
2454557.85996215 1163.70233585288 0.0597370577624278
2454562.87957868 1103.45436123071 0.14773503341637
2454564.82976453 1082.08653436175 0.204218331949
2454565.92765593 1063.10707100397 0.105832527214959
2454566.87288183 1055.8458018847 0.104272769852169
2454567.90241364 1042.79957640739 0.0785905403690653
2454569.92131638 1017.23222934078 0.154805060219102
2454570.81838368 1010.63284634528 0.0509246780588349
2454571.82394837 999.409576914077 0.072929054578608
2454610.81508292 566.70844391217 0.0588866828864764
2454611.73764341 561.729719605701 0.053272595783977
2454612.70980201 556.078826004026 0.0618804479673424
2454616.73299715 515.474703828067 0.0575982930965593
2454617.7199136 508.537009487958 0.103640598409024
2454618.73806951 501.979568634061 0.128266701809611
2454620.6931974 488.969015251455 0.131959326458327
2454638.79195005 351.143708435283 0.0557457991326662
2454639.73544281 350.827750897822 0.0547292019720939
2454640.72162618 347.234547457482 0.0779896077499516
2454641.67446853 342.627906162745 0.053861594685669
2454642.69794971 337.387994718815 0.0857916217900903
2454643.70024396 330.460163547951 0.0769888243816331
2454644.73233995 323.316376241431 0.0555156236804826
2454644.73786011 323.238991275668 0.204826840447
2454645.65700254 324.280046493372 0.0716444681402575
2454646.69122986 316.817421770564 0.0510596792436471
2454647.64426012 314.129732226727 0.0577650083592239
2454648.74180139 305.27865616016 0.0552238401014678
2454878.90397764 1231.37262200034 0.0604750696234428
2454878.99606886 1225.51622347343 0.0457469389964365
2454879.87139243 1227.62062313182 0.0543498974125751
2454879.99678572 1219.90237971789 0.0714204077524737
2454880.87867452 1219.69415774317 0.0519655717035038
2454880.99168259 1208.4602227798 0.108008111681704
2454881.86761478 1213.98136211539 0.0522967854130623
2454882.00308761 1205.27405651041 0.0815337966162378
2454882.86467133 1207.44318670143 0.0544425888402697
2454883.87539764 1201.14694435239 0.0505011722671313
2454883.99676542 1193.06685901081 0.0481320531687297
2454884.88890009 1191.86558570105 0.0554004928787974
2454884.99021494 1185.82988226306 0.0571749410465804
2454885.96279439 1178.58040310971 0.0684809681878637
2454886.85220043 1176.58827799324 0.0613281689588215
2454913.86434762 905.7828947204 0.114915497105905
2454913.87356444 904.658270117947 0.0410749205008172
2454913.88424795 903.713961268495 0.0403201827908106
2454913.89289805 902.231347886164 0.0518051333548381
2454913.98309954 896.220516521606 0.0518907624835961
2454913.99467685 895.804919028209 0.0575062037462982
2454914.00103503 894.227870114897 0.177783374154
2454914.84736741 895.637928209305 0.0743592689764175
2454914.86604398 893.609325852013 0.050494510551854
2454914.93160756 888.989475207892 0.0629777371967543
2454914.95273563 886.531346492847 0.0548275901728172
2454914.98716456 884.327304107417 0.0545733546141404
2454915.00356976 883.88737754103 0.0639518063346758
2454915.01152561 883.703068055284 0.127567157581933
2454915.84843029 881.896076012532 0.0654387874847614
2454915.92023983 878.210554903328 0.0447385581851141
2454916.84529936 871.781440203711 0.183949252235
2454916.92743674 865.049311863573 0.126729272594666
2454917.0012522 859.89850886051 0.0448712345903744
2454917.92008953 854.93062928529 0.0538192910962233
2454918.00302326 848.710143659801 0.0433038152567536
2454918.80575002 849.816813480644 0.0632130814563818
2454918.81332895 850.221008911484 0.0731196417814322
2454918.89334528 845.537506673571 0.0651537059069547
2454918.89808947 844.272909341031 0.10997460686771
2454919.00266329 837.506486484712 0.0533564118972346
2454919.01021501 836.673919177218 0.105921456287201
2454920.83599384 826.383166141772 0.177527071834
2454920.91316154 821.367985652047 0.180356324362
2454920.99366895 814.697533564397 0.0587578097630828
2454920.99961013 813.793751481262 0.0692990941520576
2454932.77796646 686.744650824253 0.0435295295678008
2454932.85494835 678.558416304529 0.0642204962256775
2454932.94307786 675.821021088083 0.0818131698352953
2454933.80105636 675.015950888834 0.0424277601209213
2454933.88606339 668.027502393605 0.0476923834285522
2454933.95151482 665.429594351622 0.0687677763279447
2454934.77601126 664.785196001679 0.129702403949299
2454934.93613717 650.827389114534 0.0474719658328366
2454935.75323573 652.200310498994 0.0456194005102212
2454935.85212803 645.270200324723 0.0512383343819626
2454936.77603402 639.371958295733 0.0434908601776872
2454936.86520036 632.561170990129 0.0463689608524301
2454936.93783281 627.185958962221 0.0539451034189161
2454937.76726279 626.138357144154 0.0420052565719839
2454937.85342294 620.716084422583 0.0734691832112058
2454937.93082566 612.37575589815 0.130038452898915
2454938.7798494 613.309678090956 0.0497653706322116
2454938.83897524 609.023234675984 0.0470489440831376
2454938.9198169 604.102353538012 0.124513511599143
2454939.78227443 603.159930601631 0.0509910992637471
2454939.84377735 598.829176501026 0.0535353548529698
2454939.91396795 594.056566111923 0.0554317910476788
2454940.78821541 589.737093633428 0.0430473077261098
2454940.85997795 586.680229824727 0.0449877668770836
2454940.93890609 579.811837903698 0.0436807341175984
2454941.93436705 567.250746216599 0.125155281509573
2454946.76843582 518.50091048116 0.0798576350743635
2454946.85556884 514.441497458334 0.0621346420815262
2454946.86194274 514.831072820062 0.126665951964951
2454946.94779043 508.688202859235 0.0432777239904558
2454946.95442561 508.071958137684 0.0898285407444656
2454947.72244443 511.833006180142 0.0441162328290145
2454947.72893774 512.046924922273 0.129859707018518
2454947.81795103 505.649736822347 0.0694842544697187
2454947.82774031 504.716339518859 0.123438862838525
2454947.88256582 500.933943824298 0.0798647773783639
2454947.89114521 500.591395013093 0.126420054498487
2454949.73036799 490.530602092973 0.176481602922
2454949.81442305 481.626104130475 0.0449920287552747
2454949.82011391 485.286331778554 0.180706437827
2454949.92866076 474.256180359269 0.0427989397381344
2454949.93517104 474.01549696429 0.0931807390888812
2454950.72869479 477.065674671855 0.0438892118058693
2454950.73452999 476.700031556522 0.130368705918398
2454950.82205486 468.999835820442 0.0431085008094881
2454950.82878025 467.568659478427 0.0940703600086628
2454950.92392537 462.64158651638 0.0431446258267834
2454950.93052647 462.123139427711 0.085190500142318
2454951.75048816 461.999168840948 0.0425842876667346
2454951.75753582 460.95611983046 0.0698183784706856
2454951.85495654 454.992197282633 0.0430612215548664
2454951.86147716 454.762747339468 0.0989829762722462
2454951.94772326 449.220102463564 0.050186335919831
2454951.9545061 448.984874075171 0.0914313542256134
2454952.84141348 443.626476546709 0.0744729429692528
2454952.92381383 439.074511898349 0.0759878943881473
2454953.71043327 442.200238625842 0.0713910748103787
2454953.81496223 434.714665576362 0.0729114479206872
2454953.93759118 427.1184757726 0.0749915606428606
2454954.71713041 429.75112260522 0.0651610286918402
2454954.82919308 423.159081778859 0.0696280245964598
2454954.92444455 413.664044387915 0.0655229438983769
2454955.70385124 419.011623618618 0.0540410032978471
2454955.84031761 410.867527968718 0.0575518185701346
2454955.92146358 406.225582488902 0.0605599894664726
2454956.76146704 407.310585525909 0.0652421603431832
2454956.84520022 402.005564341378 0.0687905112821943
2454956.91668247 396.153255408589 0.0677701485971994
2454988.62799971 98.236302432392 0.0678090920399469
2454988.70191161 94.1206351246913 0.0614421733564171
2454988.78012169 88.6406744646611 0.0709914153383321
2454989.625691 89.668748685763 0.0755833095091074
2454989.70429009 85.3243136012124 0.0680923999201088
2454989.80234282 79.9201409475494 0.153649354920214
2454990.65502902 81.8979713122587 0.0751671978056812
2454990.72158982 77.914720256244 0.0695009846984512
2454990.81307978 71.7009760752598 0.0733304971380711
2454991.68607101 71.201709051983 0.0616010474942997
2454991.73785251 66.9521627694763 0.0644607689344359
2454991.80439485 64.031024413608 0.0664701129768302
2454992.64707682 66.5102035886288 0.0719702558021238
