BJD RV eRV
2452939.69848646 -0.133539391527847 0.363877091274
2452944.66967575 -1.12649155567487 0.324300137552
2452946.77623167 0.328690611648199 0.348018147664
2452947.64018224 -0.824988359841882 0.327999848022
2452948.71264704 -0.297875610896881 0.434119379586
2452949.67221289 -1.49734440095312 0.163375910899946
2453039.52487716 1.90428601215394 0.222258623919051
2453267.77497351 -3.94533164263366 0.077575105343029
2453280.55091564 -2.17574590769073 0.367718497427
2453281.55774451 -2.42735595367986 0.103932996432888
2453281.56708979 -3.00419869972557 0.114682449968172
2453281.58129244 -3.21051701345862 0.0795381693798703
2453281.59012825 -4.62439275068538 0.104965807700763
2453281.60300752 -4.73834111868077 0.0826521274133432
2453281.61370329 -4.51459250737603 0.0793032006204398
2453281.62437694 -4.21265146453342 0.0776737584827534
2453281.63506238 -4.3432238105049 0.0800242071012714
2453281.64574508 -5.51326933237326 0.0750761699701191
2453281.65642583 -4.1512200104967 0.0770354643101417
2453281.6671173 -4.01019807450129 0.0765734815822407
2453281.67786204 -2.96846936644862 0.077699927488471
2453281.68866412 -2.71894915804382 0.0745876738211086
2453281.69934925 -2.39918527468937 0.0763285572970812
2453281.71005657 -3.06611223275189 0.0746587490222638
2453281.72073777 -3.25783193792003 0.0730671255826515
2453281.73143106 -2.9197335662385 0.0729506861591047
2453281.74215001 -1.26984803616214 0.072143785865775
2453281.75207 -1.48328451993998 0.0776240036642634
2453281.76416283 -2.91233926036285 0.0819731321567352
2453281.77522036 -3.63390962416824 0.0751640580321274
2453281.78568982 -3.76754980074458 0.073554015780845
2453281.7964171 -3.20007053878752 0.0748691024045546
2453281.80714992 -3.32550097242488 0.0756371662857612
2453281.81786763 -2.80730395154172 0.0765715785790611
2453281.82861138 -3.11266649852643 0.0744776728773505
2453281.83934043 -3.09668068405851 0.0770712026323181
2453281.85004852 -3.31629716615612 0.0763470993125721
2453281.8607616 -3.27340683049252 0.0771701721424626
2453281.87147453 -3.71745935979552 0.0781820066612537
