BJDtdb1 BJDtdb2 ZB
2455427 0.788024819890195 0.0000698855476000126
2455427 0.789019889319716 0.0000698773075891168
2455427 0.790026959670889 0.0000698689446745338
2455427 0.791439058365376 0.0000698571790320734
2455427 0.79238812466877 0.0000698492459816347
2455427 0.793361192357989 0.0000698410914108383
2455427 0.794576277385431 0.000069830879371624
2455427 0.795548345212162 0.000069822686646015
2455427 0.796914440745103 0.000069811138863507
2455428 0.852728079405093 0.0000683420452149974
2455428 0.853711146386954 0.0000683330177000396
2455428 0.854707214580051 0.0000683238686285392
2455428 0.855830291243378 0.0000683135507453247
2455428 0.856790356683817 0.0000683047289464778
2455428 0.857739421513563 0.0000682960071454186
2455428 0.858874499056461 0.00006828557488614
2455428 0.859811562957271 0.0000682769620090617
2455429 0.886062115290343 0.0000670451372526415
2455429 0.887057181893265 0.0000670361070722603
2455429 0.888203258594512 0.000067025718168523
2455429 0.88915232221054 0.0000670171249388396
2455429 0.890298399355739 0.000067006760112065
2455429 0.891247462953785 0.0000669981874910075
2455430 0.84944747514356 0.0000663717189706148
2455430 0.85044354138319 0.0000663625316745797
2455430 0.851542614068595 0.0000663523925441556
2455430 0.852503677933119 0.0000663435253966949
2455430 0.853707757664101 0.0000663324150103062
2455430 0.854644820200482 0.0000663237679761064
2455431 0.849247286863623 0.0000653460775095205
2455431 0.850567372924941 0.0000653338734881714
2455431 0.852060470424607 0.0000653200687414923
2455431 0.854270614833619 0.0000652996341794498
2455431 0.855694707950213 0.0000652864686061516
2455431 0.856736775996477 0.0000652768361164568
2455435 0.815551198834961 0.0000613699017775193
2455435 0.816547260092802 0.0000613607288748597
2455435 0.817808337522903 0.0000613491037460001
2455435 0.81876939611359 0.0000613402359463944
2455435 0.820783520077696 0.0000613216292764118
2455435 0.821732578280472 0.0000613128520039474
2455436 0.85039390364094 0.0000599294729239919
2455436 0.851377962653587 0.0000599203091045108
2455436 0.852651039077586 0.0000599084596726307
2455436 0.856263255452227 0.0000598748793974035
2455436 0.857200311472197 0.0000598661795347954
2455436 0.858253374379905 0.0000598564088254427
2455437 0.802823565015123 0.000059237592336947
2455437 0.80383062465169 0.0000592283534832649
2455437 0.804941690298734 0.0000592181480318921
2455437 0.805913747809554 0.0000592092090416774
2455437 0.807013812933156 0.0000591990816161125
2455437 0.807974869923372 0.0000591902244440057
2455438 0.865246574363188 0.0000575048163167224
2455438 0.866242631771413 0.0000574956486145695
2455438 0.867341695177846 0.0000574855449861911
2455438 0.868302750055683 0.0000574767208232352
2455438 0.869425815003393 0.0000574664222419141
2455438 0.870362868766698 0.0000574578405243553
2455439 0.900004717866315 0.0000560239479450164
2455439 0.901000773334202 0.0000560153680335684
2455439 0.902111835877677 0.0000560058233514127
2455439 0.903071889503014 0.000055997598210622
2455439 0.904194952324378 0.0000559880030970294
2455439 0.90513300499913 0.0000559800109132258
2455582 0.535762812446531 -0.0000902529000896823
2455582 0.53687371202217 -0.000090259872892573
2455582 0.537961613723797 -0.0000902666643119998
2455582 0.539037516875529 -0.00009027334445455
2455582 0.540114419704623 -0.0000902799942553711
2455582 0.541202321384418 -0.0000902866745169373
2455584 0.54207700174189 -0.0000895829416701632
2455584 0.543152905629528 -0.0000895892238808038
2455584 0.544217810179361 -0.0000895954031105983
2455584 0.545317711620424 -0.0000896017446185837
2455584 0.546416612903714 -0.0000896080386401099
2455584 0.547550511543072 -0.000089614489055645
2455588 0.536586998866709 -0.0000878134387181095
2455588 0.537686902268087 -0.0000878195218809719
2455588 0.538773806938295 -0.0000878254910682275
2455588 0.539885708898289 -0.0000878315539291075
2455588 0.540961614670679 -0.0000878373782239317
2455786 0.84781964945542 0.0000749748614312651
2455786 0.848803723273918 0.0000749661279202396
2455786 0.849821799425768 0.0000749570824112311
2455786 0.85084087588382 0.0000749480179291773
2455786 0.851835950351199 0.0000749391575276537
2455788 0.767880560004061 0.0000739465656376392
2455788 0.76906164724872 0.0000739379329810497
2455788 0.770114725441803 0.0000739301983490037
2455788 0.771156802031206 0.000073922509933988
2455788 0.772197879229587 0.000073914794830765
2455790 0.933997995580265 0.0000707421187371438
2455790 0.940907483931589 0.0000706843213398312
2455790 0.942076566849015 0.0000706746463898789
2455790 0.943118640511356 0.000070666049015955
2455794 0.896680224718534 0.000067275704578762
2455794 0.897780298716543 0.0000672658539322413
2455794 0.898844370473853 0.0000672563402999149
2455794 0.899921442495786 0.0000672467254834164
2455794 0.900997515131053 0.0000672371350978196
2455801 0.848144525246426 0.0000602887631457882
2455801 0.84926659305237 0.0000602782941196978
2455801 0.850354658538361 0.000060268146050424
2455801 0.851454724827854 0.0000602578902000328
2455801 0.852565792085463 0.0000602475364612776
2455843 0.809104683463396 0.00000148594517357381
2455843 0.810146685031035 0.00000147690709351167
2455843 0.811176686480213 0.00000146800094591448
2455843 0.812206687920232 0.00000145912279236882
2455843 0.813248689459966 0.00000145017000052761
2455845 0.748202951155918 -0.0000010884039145509
2455845 0.749464950078123 -0.00000110058718638673
2455845 0.750737948358051 -0.00000111286171355918
2455845 0.75184894743268 -0.00000112356143699976
2455850 0.810377702526511 -0.00000950231022833758
2455850 0.811419692644724 -0.00000951074049460043
2455850 0.812484682477663 -0.00000951932135284661
2455850 0.813525672347265 -0.00000952767386863673
2455850 0.814567662439104 -0.00000953599949660155
2455852 0.761908785852303 -0.0000122206064157027
